date,stock,action,amount,price,value
2025-10-09,SZ002179,BUY,200,40.99,8198.0
2025-10-09,SZ002475,BUY,100,65.3,6530.0
2025-10-09,SH600660,BUY,100,70.95936096,7095.936095999999
2025-10-09,SH601225,BUY,400,20.42,8168.000000000001
2025-10-09,SH601872,BUY,1100,8.26140245,9087.542695
2025-10-09,SH600026,BUY,800,11.73,9384.0
2025-10-09,SH601916,BUY,3100,2.99,9269.0
2025-10-09,SZ300498,BUY,500,18.4892548,9244.627400000001
2025-10-09,SZ300408,BUY,100,48.34,4834.0
2025-10-16,SZ002475,SELL,100,59.2,5920.0
2025-10-16,SH600660,SELL,100,66.88,6688.0
2025-10-16,SH601225,SELL,400,22.54,9016.0
2025-10-16,SH601872,SELL,1100,8.7870379,9665.741689999999
2025-10-16,SH600026,SELL,800,12.52,10016.0
2025-10-16,SH601916,SELL,3100,3.08,9548.0
2025-10-16,SZ300498,SELL,500,18.32206473,9161.032365000001
2025-10-16,SZ300408,SELL,100,51.47,5147.0
2025-10-16,SZ000768,BUY,300,26.25,7875.0
2025-10-16,SH601877,BUY,200,30.64,6128.0
2025-10-16,SH600372,BUY,600,12.69,7614.0
2025-10-16,SH600760,BUY,100,67.14,6714.0
2025-10-16,SH688396,BUY,100,53.93999268,5393.9992680000005
2025-10-16,SH603799,BUY,100,64.68,6468.000000000001
2025-10-23,SZ002179,SELL,200,37.0,7400.0
2025-10-23,SH601877,SELL,200,28.7,5740.0
2025-10-23,SH600372,SELL,600,12.09,7254.0
2025-10-23,SH600760,SELL,100,62.27,6227.0
2025-10-23,SH688396,SELL,100,52.54,5254.0
2025-10-23,SH603799,SELL,100,62.75,6275.0
2025-10-23,SH600019,BUY,1100,7.22,7942.0
2025-10-23,SH601336,BUY,100,68.8,6880.0
2025-10-23,SH600332,BUY,300,25.7,7710.0
2025-10-23,SZ001289,BUY,400,17.51,7004.000000000001
2025-10-23,SH600406,BUY,300,23.01,6903.000000000001
2025-10-23,SZ302132,BUY,100,84.98,8498.0
2025-10-23,SH688187,BUY,100,54.84,5484.0
2025-10-23,SH601601,BUY,200,37.34,7468.000000000001
2025-10-23,SH601838,BUY,400,18.54,7416.0
2025-10-30,SZ000768,SELL,300,25.71,7713.0
2025-10-30,SH600019,SELL,1100,7.24,7964.0
2025-10-30,SH601336,SELL,100,70.9,7090.000000000001
2025-10-30,SH600332,SELL,300,26.25,7875.0
2025-10-30,SZ001289,SELL,400,17.29,6916.0
2025-10-30,SH600406,SELL,300,24.34,7302.0
2025-10-30,SZ302132,SELL,100,85.9,8590.0
2025-10-30,SH688187,SELL,100,56.12,5612.0
2025-10-30,SH601838,SELL,400,16.86,6744.0
2025-10-30,SH601728,BUY,1200,6.84,8208.0
2025-10-30,SH600018,BUY,1500,5.67,8505.0
2025-10-30,SZ000001,BUY,700,11.38,7966.000000000001
2025-10-30,SH600028,BUY,1500,5.53,8295.0
2025-10-30,SH601319,BUY,900,8.7,7829.999999999999
2025-10-30,SH601607,BUY,400,18.32,7328.0
2025-10-30,SH600900,BUY,300,28.47,8541.0
2025-10-30,SZ002142,BUY,300,27.72,8316.0
2025-10-30,SH601169,BUY,1500,5.67,8505.0
2025-11-06,SH601601,SELL,200,35.49,7098.0
2025-11-06,SZ000001,SELL,700,11.51,8057.0
2025-11-06,SH600028,SELL,1500,5.55,8325.0
2025-11-06,SH601319,SELL,900,8.63,7767.000000000001
2025-11-06,SZ002142,SELL,300,29.16,8748.0
2025-11-06,SH601169,SELL,1500,5.69,8535.0
2025-11-06,SH601816,BUY,1200,5.21,6252.0
2025-11-06,SH601988,BUY,1100,5.66,6226.0
2025-11-06,SH601318,BUY,100,58.9,5890.0
2025-11-06,SZ002352,BUY,100,40.03,4003.0
2025-11-06,SH601211,BUY,300,19.79,5937.0
2025-11-13,SH601728,SELL,1200,6.84,8208.0
2025-11-13,SH600018,SELL,1500,5.67,8505.0
2025-11-13,SH601607,SELL,400,18.41,7364.0
2025-11-13,SH601318,SELL,100,60.88,6088.0
2025-11-13,SZ002352,SELL,100,40.58,4058.0
2025-11-13,SH601211,SELL,300,19.86,5958.0
2025-11-13,SH601088,BUY,100,42.62,4262.0
2025-11-13,SZ002142,BUY,200,29.79,5958.0
2025-11-13,SH600027,BUY,1300,5.35,6954.999999999999
2025-11-13,SZ000800,BUY,1000,7.39,7390.0
2025-11-13,SZ300442,BUY,100,48.48,4848.0
2025-11-13,SZ002252,BUY,1000,6.9,6900.0
2025-11-13,SH601058,BUY,400,16.2,6480.0
2025-11-20,SH600900,SELL,300,28.14,8442.0
2025-11-20,SH601816,SELL,1200,5.14,6168.0
2025-11-20,SH601988,SELL,1100,6.24,6864.0
2025-11-20,SH601088,SELL,100,42.0,4200.0
2025-11-20,SH600027,SELL,1300,5.17,6721.0
2025-11-20,SZ300442,SELL,100,46.45,4645.0
2025-11-20,SZ002252,SELL,1000,6.69,6690.0
2025-11-20,SZ300122,BUY,300,20.94,6282.0
2025-11-20,SZ000963,BUY,100,41.17,4117.0
2025-11-20,SZ002352,BUY,100,39.63,3963.0000000000005
2025-11-20,SZ300832,BUY,100,63.4,6340.0
2025-11-20,SH601318,BUY,100,60.2,6020.0
2025-11-20,SH601211,BUY,300,19.6,5880.0
2025-11-20,SH601919,BUY,400,15.08,6032.0
