date,stock,action,amount,price,value
2024-11-18,SZ002460,BUY,1180.3371615948502,7.814578533172607,9223.837444905002
2024-11-18,SH600519,BUY,38.69161738383386,243.951904296875,9438.893741112342
2024-11-18,SH601872,BUY,7736.547357507118,1.1981165409088135,9269.28535855365
2024-11-18,SZ002812,BUY,1847.5650243078405,5.076711177825928,9379.554010663845
2024-11-18,SH603659,BUY,3335.95783516943,2.833278179168701,9451.696541012405
2024-11-18,SH600732,BUY,3099.1549595057704,3.0203332901000977,9360.480895374098
2024-11-18,SZ300014,BUY,1338.603642264545,6.986736297607422,9352.470655519197
2024-11-18,SH601698,BUY,2453.2652759537154,3.9327149391174316,9647.993000361224
2024-11-18,SZ002555,BUY,701.6559521462464,13.535486221313477,9497.254472378107
2024-11-18,SZ002050,BUY,183.22249274814683,51.177677154541016,9376.90158131489
2024-11-19,SH600519,SELL,38.69161738383386,243.951904296875,9438.893741112342
2024-11-19,SZ000792,BUY,1623.9668214288072,7.1638569831848145,11633.866054153206
2024-11-19,SZ300347,BUY,559.4153751874707,20.09370231628418,11240.726020169463
2024-11-19,SH601872,SELL,7736.547357507118,1.1981165409088135,9269.28535855365
2024-11-20,SZ002812,SELL,1847.5650243078405,4.9483962059021,9142.483756442338
2024-11-20,SH600026,BUY,3746.1612034482873,2.5329232215881348,9488.73870402672
2024-11-20,SH603195,BUY,4986.385666211277,1.876766562461853,9358.281885884395
2024-11-20,SZ002050,SELL,183.22249274814683,50.21371841430664,9200.282658022785
2024-11-21,SH600026,SELL,3746.1612034482873,2.5329232215881348,9488.73870402672
2024-11-21,SZ002555,SELL,701.6559521462464,12.71373176574707,8920.665567427239
2024-11-21,SH600132,BUY,696.0392137823253,13.347665786743164,9290.498800033954
2024-11-22,SH601808,BUY,25993.850877408015,0.35227736830711365,9157.045379260853
2024-11-22,SH601899,BUY,15037.423832798026,0.6063115000724792,9117.363001289421
2024-11-22,SZ002920,BUY,7975.555316466447,1.165894627571106,9298.657095364402
2024-11-22,SH600732,SELL,3099.1549595057704,2.897555351257324,8979.97303729162
2024-11-22,SH603195,SELL,4986.385666211277,1.8852934837341309,9400.800403893392
2024-11-25,SZ002466,BUY,5472.729449170877,1.896610140800476,10379.634171154888
2024-11-25,SH601689,BUY,5646.58385511442,1.8768961429595947,10598.051458562173
2024-11-25,SZ002460,SELL,1180.3371615948502,8.119675636291504,9583.954893611173
2024-11-25,SZ000792,SELL,1623.9668214288072,6.8971943855285645,11200.814843043438
2024-11-26,SH603659,SELL,3335.95783516943,3.004901647567749,10024.225195117162
2024-11-26,SZ300014,SELL,1338.603642264545,6.696179389953613,8963.530120648686
2024-11-26,SH600584,BUY,1608.2610194419772,6.104746341705322,9818.025574945683
2024-11-26,SZ002074,BUY,1461.7031645899544,6.610352993011475,9662.373888941549
2024-11-27,SH603501,BUY,588.6604717951518,17.78603172302246,10469.933825437938
2024-11-27,SZ002074,SELL,1461.7031645899544,6.610352993011475,9662.373888941549
2024-11-27,SH601689,SELL,5646.58385511442,1.925240397453308,10871.031345473919
2024-11-27,SZ002371,BUY,943.8069298279346,11.163069725036621,10535.782564641979
2024-11-28,SH601899,SELL,15037.423832798026,0.5892322659492493,8860.535319038825
2024-11-28,SZ300450,BUY,546.942697928689,16.070539474487305,8789.664217345582
2024-11-28,SZ000708,BUY,2225.758529351358,4.121693134307861,9173.893649054655
2024-11-28,SH600132,SELL,696.0392137823253,13.178675651550293,9172.875039197339
2024-11-29,SH600584,SELL,1608.2610194419772,6.0993170738220215,9809.29389504486
2024-11-29,SZ300782,BUY,1010.969995793442,10.47225570678711,10587.136307838413
2024-11-29,SZ300347,SELL,559.4153751874707,20.687602996826172,11572.963192198955
2024-11-29,SZ002050,BUY,189.14791481779713,56.377235412597656,10663.636521484917
2024-12-02,SZ000858,BUY,231.43198644825816,45.220359802246094,10465.437696938776
2024-12-02,SZ002920,SELL,7975.555316466447,1.253743052482605,9999.297067710511
2024-12-02,SZ002916,BUY,1031.8285323267178,10.024572372436523,10343.639798254142
2024-12-02,SH601698,SELL,2453.2652759537154,4.484918594360352,11002.695053023397
2024-12-03,SZ000876,BUY,282.87956263150016,36.01552200317383,10188.055112202983
2024-12-03,SZ300782,SELL,1010.969995793442,10.192837715148926,10304.653102007345
2024-12-03,SZ300751,BUY,5504.706275376918,1.8541020154953003,10206.286999885971
2024-12-03,SZ002916,SELL,1031.8285323267178,10.024572372436523,10343.639798254142
2024-12-04,SH603986,BUY,688.0770659119431,14.867749214172363,10230.157256002318
2024-12-04,SH600026,BUY,3863.5162652241634,2.6098575592041016,10083.227129903282
2024-12-04,SZ300751,SELL,5504.706275376918,1.8541020154953003,10206.286999885971
2024-12-04,SZ002371,SELL,943.8069298279346,10.68742561340332,10086.866355950619
2024-12-05,SH603501,SELL,588.6604717951518,16.593671798706055,9768.03866984021
2024-12-05,SZ002603,BUY,5613.31276568776,1.7731317281723022,9953.142964995583
2024-12-05,SZ300759,BUY,1711.752324645109,6.336381435394287,10846.315651874284
2024-12-05,SZ002050,SELL,189.14791481779713,57.75015640258789,10923.321663951156
2024-12-06,SH603019,BUY,1110.3862999343462,8.812214851379395,9784.962643049661
2024-12-06,SZ002709,BUY,1776.8317169599127,5.620693683624268,9987.026808379844
2024-12-06,SZ002603,SELL,5613.31276568776,1.7731317281723022,9953.142964995583
2024-12-06,SZ000708,SELL,2225.758529351358,4.22865104675293,9411.956134960881
2024-12-09,SZ002466,SELL,5472.729449170877,1.5085569620132446,8255.924111761637
2024-12-09,SH601808,SELL,25993.850877408015,0.32515716552734375,8452.086872438447
2024-12-09,SZ002074,BUY,1216.352702829582,7.2305684089660645,8794.921427240064
2024-12-10,SH600745,BUY,706.787220185306,13.245731353759766,9361.913642845215
2024-12-10,SZ002916,BUY,1267.4070944594164,7.629140853881836,9669.227242840008
2024-12-10,SZ300450,SELL,546.942697928689,15.54096508026123,8500.017369413621
2024-12-10,SZ000858,SELL,231.43198644825816,46.8452262878418,10841.48377541339
2024-12-11,SZ002241,BUY,526.6130355190122,17.558425903320312,9246.495963883164
2024-12-11,SZ300750,BUY,2323.5598775890853,3.966057062149048,9215.371061838368
2024-12-11,SZ002709,SELL,1776.8317169599127,5.686197757720947,10103.416524824916
2024-12-11,SZ002074,SELL,1216.352702829582,7.610291481018066,9256.798612257267
2024-12-12,SH600745,SELL,706.787220185306,12.79241943359375,9041.518570914213
2024-12-12,SH603986,SELL,688.0770659119431,19.155961990356445,13180.778121045169
2024-12-12,SZ000708,BUY,2568.385931047747,4.143036842346191,10640.91753769444
2024-12-12,SZ300782,BUY,831.8269257173001,12.73711109161377,10595.071961856807
2024-12-13,SZ002466,BUY,5793.558649125414,1.7064640522003174,9886.499569046751
2024-12-13,SZ000708,SELL,2568.385931047747,4.143036842346191,10640.91753769444
2024-12-13,SH600741,BUY,476.0117869202609,22.124767303466797,10531.650019318191
2024-12-13,SZ300759,SELL,1711.752324645109,5.865335464477539,10040.001616142827
2024-12-16,SZ000876,SELL,282.87956263150016,33.25670623779297,9407.642515111158
2024-12-16,SH601808,BUY,27227.485846717154,0.37597185373306274,10236.768326280979
2024-12-16,SH603019,SELL,1110.3862999343462,10.409699440002441,11558.787644612947
2024-12-16,SZ000408,BUY,9734.69509618769,1.031533122062683,10041.660424898779
2024-12-17,SZ002916,SELL,1267.4070944594164,7.948409557342529,10073.870662644951
2024-12-17,SH600584,BUY,1309.3507908541274,7.46467399597168,9773.876800093758
2024-12-17,SZ300750,SELL,2323.5598775890853,3.844548225402832,8933.03800400234
2024-12-18,SH603501,BUY,481.6330835731722,20.570192337036133,9907.28516497995
2024-12-18,SH601808,SELL,27227.485846717154,0.3748299777507782,10205.67791413462
2024-12-18,SZ300014,BUY,1321.6486321616856,7.317371368408203,9670.993860075783
2024-12-18,SZ300782,SELL,831.8269257173001,13.006690979003906,10819.31577081976
2024-12-19,SH600741,SELL,476.0117869202609,20.382431030273438,9702.277416499433
2024-12-19,SH600584,SELL,1309.3507908541274,7.852837085723877,10282.118448641178
2024-12-19,SZ300142,BUY,1927.3020088544038,5.20092248916626,10023.748361266178
2024-12-20,SZ000100,BUY,4427.941520460075,1.795148491859436,7948.812542495681
2024-12-20,SZ000408,SELL,9734.69509618769,1.1486879587173462,11182.127038775598
2024-12-20,SH601689,BUY,3718.6899644247674,2.2086706161499023,8213.36125499651
2024-12-23,SH603501,SELL,481.6330835731722,19.286418914794922,9288.977413016632
2024-12-23,SZ000100,SELL,4427.941520460075,1.795148491859436,7948.812542495681
2024-12-23,SZ000708,BUY,2614.518876644172,4.032040119171143,10541.84500295957
2024-12-24,SZ300628,BUY,19162.170231337303,0.5006610751152039,9593.752749561889
2024-12-24,SZ002460,BUY,1038.9382006550165,9.64889907836914,10024.609846782683
2024-12-24,SZ000408,BUY,7522.6863200544585,1.308704137802124,9844.970714442703
2024-12-24,SZ002241,SELL,526.6130355190122,17.227842330932617,9072.406345335361
2024-12-24,SZ300014,SELL,1321.6486321616856,7.013454437255859,9269.32246372751
2024-12-25,SH600026,SELL,3863.5162652241634,2.0298893451690674,7842.510501665918
2024-12-25,SH603501,BUY,491.8162983030727,18.551130294799805,9123.74823092643
2024-12-25,SH603195,BUY,4603.222497328527,2.0772104263305664,9561.861766170245
