date,cash,position_value,account_value,holdings_count,holdings
2025-04-16,100000.0,0.0,100000.0,0,[]
2025-04-17,14454.999999999998,84550.18176069442,99005.18176069442,9,"[{'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.917405366897583), 'value': np.float64(9184.059910847252)}, {'stock': 'SH600233', 'amount': np.float64(1467.5877512835812), 'price': np.float64(6.233727931976318), 'value': np.float64(9148.542757802774)}, {'stock': 'SZ000157', 'amount': np.float64(89.61546898597052), 'price': np.float64(107.00270080566406), 'value': np.float64(9589.097215465072)}, {'stock': 'SH601633', 'amount': np.float64(1465.9888598367077), 'price': np.float64(6.4719438552856445), 'value': np.float64(9487.797593337387)}, {'stock': 'SZ300759', 'amount': np.float64(938.2725770736834), 'price': np.float64(10.303483963012695), 'value': np.float64(9667.47645081329)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.023643136024475), 'value': np.float64(9567.760308989064)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.8796660900115967), 'value': np.float64(9241.218603796458)}, {'stock': 'SZ000895', 'amount': np.float64(72.38601004371702), 'price': np.float64(127.12229919433594), 'value': np.float64(9201.876026261602)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.1861817836761475), 'value': np.float64(9462.35289338152)}]"
2025-04-18,12008.422662596176,86422.21574141944,98430.63840401563,9,"[{'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.8967283368110657), 'value': np.float64(8977.064083326475)}, {'stock': 'SZ000157', 'amount': np.float64(89.61546898597052), 'price': np.float64(105.5113754272461), 'value': np.float64(9455.451392267465)}, {'stock': 'SH601633', 'amount': np.float64(1465.9888598367077), 'price': np.float64(6.613452434539795), 'value': np.float64(9695.247594095292)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0149435997009277), 'value': np.float64(9486.447715357746)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.7757890224456787), 'value': np.float64(8993.787338572518)}, {'stock': 'SZ000895', 'amount': np.float64(72.38601004371702), 'price': np.float64(125.9334487915039), 'value': np.float64(9115.819889061724)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.256734848022461), 'value': np.float64(9767.724568115575)}, {'stock': 'SH600584', 'amount': np.float64(1027.3628852652607), 'price': np.float64(10.371825218200684), 'value': np.float64(10655.628281637646)}, {'stock': 'SZ300347', 'amount': np.float64(350.7155039466303), 'price': np.float64(29.297378540039062), 'value': np.float64(10275.04487898499)}]"
2025-04-21,11378.958934883183,84825.00060760588,96203.95954248906,9,"[{'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.8539233803749084), 'value': np.float64(8548.547640567576)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.027992844581604), 'value': np.float64(9608.41604869362)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.5461158752441406), 'value': np.float64(8446.71454636091)}, {'stock': 'SZ000895', 'amount': np.float64(72.38601004371702), 'price': np.float64(119.16123962402344), 'value': np.float64(8625.606688246331)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.354349374771118), 'value': np.float64(10190.225160935926)}, {'stock': 'SH600584', 'amount': np.float64(1027.3628852652607), 'price': np.float64(9.85336971282959), 'value': np.float64(10122.98633775794)}, {'stock': 'SZ300347', 'amount': np.float64(350.7155039466303), 'price': np.float64(27.869285583496094), 'value': np.float64(9774.190538048391)}, {'stock': 'SH600745', 'amount': np.float64(611.9178360732135), 'price': np.float64(15.851091384887695), 'value': np.float64(9699.565539639236)}, {'stock': 'SZ002129', 'amount': np.float64(1822.3051548649937), 'price': np.float64(5.382604598999023), 'value': np.float64(9808.748107355943)}]"
2025-04-22,10980.809563545754,84556.41835268406,95537.22791622982,9,"[{'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.8571881055831909), 'value': np.float64(8581.230501369575)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0207432508468628), 'value': np.float64(9540.655739704556)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.6071078777313232), 'value': np.float64(8591.995200672494)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.32922101020813), 'value': np.float64(10081.463183819498)}, {'stock': 'SH600584', 'amount': np.float64(1027.3628852652607), 'price': np.float64(9.600927352905273), 'value': np.float64(9863.636426502924)}, {'stock': 'SH600745', 'amount': np.float64(611.9178360732135), 'price': np.float64(14.691679000854492), 'value': np.float64(8990.100422485151)}, {'stock': 'SZ002129', 'amount': np.float64(1822.3051548649937), 'price': np.float64(5.258352279663086), 'value': np.float64(9582.322465326133)}, {'stock': 'SH601012', 'amount': np.float64(359.11789468100335), 'price': np.float64(26.888931274414062), 'value': np.float64(9656.296389489766)}, {'stock': 'SH600030', 'amount': np.float64(297.60297146685093), 'price': np.float64(32.4886474609375), 'value': np.float64(9668.718023313962)}]"
2025-04-23,10702.468795061992,81654.49955022057,92356.96834528257,9,"[{'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.8245402574539185), 'value': np.float64(8254.395926383973)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(0.9757957458496094), 'value': np.float64(9120.541601127921)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.505136728286743), 'value': np.float64(8349.103760678765)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.240304708480835), 'value': np.float64(9696.610729554108)}, {'stock': 'SH600584', 'amount': np.float64(1027.3628852652607), 'price': np.float64(9.226337432861328), 'value': np.float64(9478.796645455293)}, {'stock': 'SH601012', 'amount': np.float64(359.11789468100335), 'price': np.float64(26.613689422607422), 'value': np.float64(9557.452115140864)}, {'stock': 'SH600030', 'amount': np.float64(297.60297146685093), 'price': np.float64(31.89505386352539), 'value': np.float64(9492.062804880421)}, {'stock': 'SZ300782', 'amount': np.float64(1302.6061606267488), 'price': np.float64(6.66445255279541), 'value': np.float64(8681.156952475963)}, {'stock': 'SH601878', 'amount': np.float64(7246.491932458907), 'price': np.float64(1.2453445196151733), 'value': np.float64(9024.379014523267)}]"
2025-04-24,10538.225445208574,81534.49522340338,92072.72066861199,9,"[{'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0120437145233154), 'value': np.float64(9459.343146073239)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.463204860687256), 'value': np.float64(8249.223630285596)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.2180755138397217), 'value': np.float64(9600.397100019522)}, {'stock': 'SH600584', 'amount': np.float64(1027.3628852652607), 'price': np.float64(9.310483932495117), 'value': np.float64(9565.245636104035)}, {'stock': 'SH601012', 'amount': np.float64(359.11789468100335), 'price': np.float64(27.062543869018555), 'value': np.float64(9718.643778954238)}, {'stock': 'SZ300782', 'amount': np.float64(1302.6061606267488), 'price': np.float64(6.545092582702637), 'value': np.float64(8525.677920100892)}, {'stock': 'SH601878', 'amount': np.float64(7246.491932458907), 'price': np.float64(1.1843065023422241), 'value': np.float64(8582.067514781553)}, {'stock': 'SZ002916', 'amount': np.float64(1761.0513526559255), 'price': np.float64(5.017016887664795), 'value': np.float64(8835.22437631971)}, {'stock': 'SH603392', 'amount': np.float64(648.423162886648), 'price': np.float64(13.877777099609375), 'value': np.float64(8998.672120764604)}]"
2025-04-25,19140.119682471774,75363.32114969897,94503.44083217073,8,"[{'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0018943548202515), 'value': np.float64(9364.479382021871)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.6499929428100586), 'value': np.float64(8694.145811584849)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.3176231384277344), 'value': np.float64(10031.264633809738)}, {'stock': 'SH600584', 'amount': np.float64(1027.3628852652607), 'price': np.float64(9.812653541564941), 'value': np.float64(10081.156054570538)}, {'stock': 'SH601012', 'amount': np.float64(359.11789468100335), 'price': np.float64(29.565120697021484), 'value': np.float64(10617.363900704113)}, {'stock': 'SH601878', 'amount': np.float64(7246.491932458907), 'price': np.float64(1.1860020160675049), 'value': np.float64(8594.354041313174)}, {'stock': 'SZ002916', 'amount': np.float64(1761.0513526559255), 'price': np.float64(5.088851451873779), 'value': np.float64(8961.72873278739)}, {'stock': 'SH603986', 'amount': np.float64(594.7634758099371), 'price': np.float64(15.16372299194336), 'value': np.float64(9018.82859290729)}]"
2025-04-28,11525.943812979353,83775.78815567018,95301.73196864953,9,"[{'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0352424383163452), 'value': np.float64(9676.176357682685)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.6499929428100586), 'value': np.float64(8694.145811584849)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.3098912239074707), 'value': np.float64(9997.798933803231)}, {'stock': 'SH601878', 'amount': np.float64(7246.491932458907), 'price': np.float64(1.1936317682266235), 'value': np.float64(8649.642978780888)}, {'stock': 'SZ002916', 'amount': np.float64(1761.0513526559255), 'price': np.float64(5.068264484405518), 'value': np.float64(8925.474025880323)}, {'stock': 'SH603986', 'amount': np.float64(594.7634758099371), 'price': np.float64(15.089982032775879), 'value': np.float64(8974.970163723281)}, {'stock': 'SZ002241', 'amount': np.float64(262.27307986372904), 'price': np.float64(36.772830963134766), 'value': np.float64(9644.523632009652)}, {'stock': 'SH600745', 'amount': np.float64(673.3412625485936), 'price': np.float64(14.182188034057617), 'value': np.float64(9549.452396553912)}, {'stock': 'SZ300782', 'amount': np.float64(1396.645354061951), 'price': np.float64(6.919153690338135), 'value': np.float64(9663.603855651358)}]"
2025-04-29,11152.538819433232,84589.78077958277,95742.31959901602,9,"[{'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0395922660827637), 'value': np.float64(9716.833211609444)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.665241003036499), 'value': np.float64(8730.466117138767)}, {'stock': 'SH601878', 'amount': np.float64(7246.491932458907), 'price': np.float64(1.197022795677185), 'value': np.float64(8674.21603184413)}, {'stock': 'SZ002916', 'amount': np.float64(1761.0513526559255), 'price': np.float64(5.107247829437256), 'value': np.float64(8994.12569837952)}, {'stock': 'SZ002241', 'amount': np.float64(262.27307986372904), 'price': np.float64(35.66163635253906), 'value': np.float64(9353.08719916074)}, {'stock': 'SH600745', 'amount': np.float64(673.3412625485936), 'price': np.float64(14.331901550292969), 'value': np.float64(9650.260684596413)}, {'stock': 'SZ300782', 'amount': np.float64(1396.645354061951), 'price': np.float64(7.259676456451416), 'value': np.float64(10139.193394895798)}, {'stock': 'SZ300316', 'amount': np.float64(972.2327202987374), 'price': np.float64(9.997519493103027), 'value': np.float64(9719.91557301921)}, {'stock': 'SZ002459', 'amount': np.float64(9886.719532571175), 'price': np.float64(0.9721812009811401), 'value': np.float64(9611.68286893874)}]"
