date,cash,position_value,account_value,holdings_count,holdings
2025-04-16,100000.0,0.0,100000.0,0,[]
2025-04-17,14455.0,84712.06337192858,99167.0633719286,9,"[{'stock': 'SH600233', 'amount': np.float64(1467.5877512835812), 'price': np.float64(6.233727931976318), 'value': np.float64(9148.542757802774)}, {'stock': 'SH600926', 'amount': np.float64(7174.045172881723), 'price': np.float64(1.3221076726913452), 'value': np.float64(9484.860167301234)}, {'stock': 'SZ002311', 'amount': np.float64(676.4528685240567), 'price': np.float64(13.891608238220215), 'value': np.float64(9397.018241156482)}, {'stock': 'SZ002271', 'amount': np.float64(109.18484121038897), 'price': np.float64(87.75037384033203), 'value': np.float64(9581.010633908923)}, {'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.917405366897583), 'value': np.float64(9184.059910847252)}, {'stock': 'SZ002371', 'amount': np.float64(645.463306459634), 'price': np.float64(14.969778060913086), 'value': np.float64(9662.44244416385)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.8796660900115967), 'value': np.float64(9241.218603796458)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(37.08293151855469), 'value': np.float64(9445.150303962559)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.023643136024475), 'value': np.float64(9567.760308989064)}]"
2025-04-18,12001.634846675799,85688.82014295997,97690.45498963576,9,"[{'stock': 'SH600926', 'amount': np.float64(7174.045172881723), 'price': np.float64(1.3189423084259033), 'value': np.float64(9462.15170107233)}, {'stock': 'SZ002311', 'amount': np.float64(676.4528685240567), 'price': np.float64(13.514822006225586), 'value': np.float64(9142.140113703344)}, {'stock': 'SZ002271', 'amount': np.float64(109.18484121038897), 'price': np.float64(85.55303955078125), 'value': np.float64(9341.095038418178)}, {'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.8967283368110657), 'value': np.float64(8977.064083326475)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.7757890224456787), 'value': np.float64(8993.787338572518)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(36.574710845947266), 'value': np.float64(9315.704749261571)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0149435997009277), 'value': np.float64(9486.447715357746)}, {'stock': 'SH600600', 'amount': np.float64(725.3126665169484), 'price': np.float64(13.95979118347168), 'value': np.float64(10125.213367303631)}, {'stock': 'SH601788', 'amount': np.float64(10173.067325909851), 'price': np.float64(1.0660713911056519), 'value': np.float64(10845.21603594417)}]"
2025-04-21,11431.920392623913,84290.20950109627,95722.12989372018,9,"[{'stock': 'SH600926', 'amount': np.float64(7174.045172881723), 'price': np.float64(1.2725155353546143), 'value': np.float64(9129.083933827773)}, {'stock': 'SZ002271', 'amount': np.float64(109.18484121038897), 'price': np.float64(82.04302978515625), 'value': np.float64(8957.855179511498)}, {'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.8539233803749084), 'value': np.float64(8548.547640567576)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.5461158752441406), 'value': np.float64(8446.71454636091)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(34.84331130981445), 'value': np.float64(8874.711327616818)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.027992844581604), 'value': np.float64(9608.41604869362)}, {'stock': 'SH601788', 'amount': np.float64(10173.067325909851), 'price': np.float64(1.0320806503295898), 'value': np.float64(10499.42594157174)}, {'stock': 'SH600176', 'amount': np.float64(188.28400043112683), 'price': np.float64(53.88227081298828), 'value': np.float64(10145.169500982778)}, {'stock': 'SZ002601', 'amount': np.float64(4281.558841683608), 'price': np.float64(2.354349374771118), 'value': np.float64(10080.285381963555)}]"
2025-04-22,10812.617320588693,84545.19709972358,95357.81442031225,9,"[{'stock': 'SZ002459', 'amount': np.float64(10010.907110675906), 'price': np.float64(0.8571881055831909), 'value': np.float64(8581.230501369575)}, {'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.6071078777313232), 'value': np.float64(8591.995200672494)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(33.594295501708984), 'value': np.float64(8556.582701953052)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0207432508468628), 'value': np.float64(9540.655739704556)}, {'stock': 'SH601788', 'amount': np.float64(10173.067325909851), 'price': np.float64(1.0311979055404663), 'value': np.float64(10490.445719400392)}, {'stock': 'SH600176', 'amount': np.float64(188.28400043112683), 'price': np.float64(53.042545318603516), 'value': np.float64(9987.062625636008)}, {'stock': 'SZ002601', 'amount': np.float64(4281.558841683608), 'price': np.float64(2.32922101020813), 'value': np.float64(9972.696810491843)}, {'stock': 'SZ300316', 'amount': np.float64(1057.8361767034141), 'price': np.float64(9.15648365020752), 'value': np.float64(9686.059656582844)}, {'stock': 'SH603392', 'amount': np.float64(585.9483116691143), 'price': np.float64(15.596031188964844), 'value': np.float64(9138.4681439128)}]"
2025-04-23,10478.70292027257,82004.30577136781,92483.00869164037,9,"[{'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.505136728286743), 'value': np.float64(8349.103760678765)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(33.508155822753906), 'value': np.float64(8534.64262921477)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(0.9757957458496094), 'value': np.float64(9120.541601127921)}, {'stock': 'SH601788', 'amount': np.float64(10173.067325909851), 'price': np.float64(0.9848468899726868), 'value': np.float64(10018.913717405074)}, {'stock': 'SH600176', 'amount': np.float64(188.28400043112683), 'price': np.float64(50.313446044921875), 'value': np.float64(9473.216896813547)}, {'stock': 'SZ002601', 'amount': np.float64(4281.558841683608), 'price': np.float64(2.240304708480835), 'value': np.float64(9591.996432661537)}, {'stock': 'SH603392', 'amount': np.float64(585.9483116691143), 'price': np.float64(14.036507606506348), 'value': np.float64(8224.667933763076)}, {'stock': 'SZ002180', 'amount': np.float64(2020.8552985833903), 'price': np.float64(4.67125129699707), 'value': np.float64(9439.922934551063)}, {'stock': 'SZ000568', 'amount': np.float64(93.94797891230876), 'price': np.float64(98.47257995605469), 'value': np.float64(9251.299865152063)}]"
2025-04-24,11067.087917183408,80762.92272662558,91830.01064380897,9,"[{'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.463204860687256), 'value': np.float64(8249.223630285596)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(33.6029052734375), 'value': np.float64(8558.775640448703)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0120437145233154), 'value': np.float64(9459.343146073239)}, {'stock': 'SZ002601', 'amount': np.float64(4281.558841683608), 'price': np.float64(2.2180755138397217), 'value': np.float64(9496.820827802372)}, {'stock': 'SH603392', 'amount': np.float64(585.9483116691143), 'price': np.float64(13.877777099609375), 'value': np.float64(8131.660061236412)}, {'stock': 'SZ002180', 'amount': np.float64(2020.8552985833903), 'price': np.float64(4.245430946350098), 'value': np.float64(8579.401622701493)}, {'stock': 'SZ000568', 'amount': np.float64(93.94797891230876), 'price': np.float64(100.22823333740234), 'value': np.float64(9416.239952000236)}, {'stock': 'SH601633', 'amount': np.float64(1336.3607767324763), 'price': np.float64(7.092085361480713), 'value': np.float64(9477.58470232139)}, {'stock': 'SH600196', 'amount': np.float64(335.3431265342412), 'price': np.float64(28.012720108032227), 'value': np.float64(9393.873143756135)}]"
2025-04-25,10895.793430212507,82131.47802033294,93027.27145054548,9,"[{'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.6499929428100586), 'value': np.float64(8694.145811584849)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(36.3593635559082), 'value': np.float64(9260.855053224132)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0018943548202515), 'value': np.float64(9364.479382021871)}, {'stock': 'SH603392', 'amount': np.float64(585.9483116691143), 'price': np.float64(14.192063331604004), 'value': np.float64(8315.815548254512)}, {'stock': 'SZ002180', 'amount': np.float64(2020.8552985833903), 'price': np.float64(4.322078704833984), 'value': np.float64(8734.295651558194)}, {'stock': 'SZ000568', 'amount': np.float64(93.94797891230876), 'price': np.float64(103.33602905273438), 'value': np.float64(9708.211078328013)}, {'stock': 'SH600196', 'amount': np.float64(335.3431265342412), 'price': np.float64(28.012720108032227), 'value': np.float64(9393.873143756135)}, {'stock': 'SH601788', 'amount': np.float64(9855.102352614298), 'price': np.float64(0.9614507555961609), 'value': np.float64(9475.195603398519)}, {'stock': 'SH600346', 'amount': np.float64(1006.7131089972917), 'price': np.float64(9.123360633850098), 'value': np.float64(9184.606748206734)}]"
2025-04-28,10293.052983535747,83107.47154902028,93400.52453255602,9,"[{'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.6499929428100586), 'value': np.float64(8694.145811584849)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(36.772830963134766), 'value': np.float64(9366.166625074662)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0352424383163452), 'value': np.float64(9676.176357682685)}, {'stock': 'SZ000568', 'amount': np.float64(93.94797891230876), 'price': np.float64(103.64043426513672), 'value': np.float64(9736.809332803587)}, {'stock': 'SH600196', 'amount': np.float64(335.3431265342412), 'price': np.float64(27.630807876586914), 'value': np.float64(9265.801502001594)}, {'stock': 'SH601788', 'amount': np.float64(9855.102352614298), 'price': np.float64(0.9729281663894653), 'value': np.float64(9588.306661509536)}, {'stock': 'SH600346', 'amount': np.float64(1006.7131089972917), 'price': np.float64(9.023730278015137), 'value': np.float64(9084.307562933613)}, {'stock': 'SH601633', 'amount': np.float64(1235.0810765850538), 'price': np.float64(7.092085361480713), 'value': np.float64(8759.300423490698)}, {'stock': 'SH603501', 'amount': np.float64(470.7213395333983), 'price': np.float64(18.984601974487305), 'value': np.float64(8936.457271939062)}]"
2025-04-29,10128.808815095535,83264.00081344026,93392.80962853579,9,"[{'stock': 'SH601689', 'amount': np.float64(2381.9623620673074), 'price': np.float64(3.665241003036499), 'value': np.float64(8730.466117138767)}, {'stock': 'SZ002241', 'amount': np.float64(254.70344218165752), 'price': np.float64(35.66163635253906), 'value': np.float64(9083.141532822228)}, {'stock': 'SH601899', 'amount': np.float64(9346.773277010769), 'price': np.float64(1.0395922660827637), 'value': np.float64(9716.833211609444)}, {'stock': 'SZ000568', 'amount': np.float64(93.94797891230876), 'price': np.float64(103.52716827392578), 'value': np.float64(9726.168221849819)}, {'stock': 'SH600196', 'amount': np.float64(335.3431265342412), 'price': np.float64(28.74761390686035), 'value': np.float64(9640.314727925783)}, {'stock': 'SH601788', 'amount': np.float64(9855.102352614298), 'price': np.float64(0.964982271194458), 'value': np.float64(9509.999051079592)}, {'stock': 'SH600346', 'amount': np.float64(1006.7131089972917), 'price': np.float64(9.156570434570312), 'value': np.float64(9218.039489938961)}, {'stock': 'SZ002938', 'amount': np.float64(3682.563473013314), 'price': np.float64(2.419199228286743), 'value': np.float64(8908.854712030758)}, {'stock': 'SZ002459', 'amount': np.float64(8979.996465920418), 'price': np.float64(0.9721812009811401), 'value': np.float64(8730.183749044905)}]"
