date,cash,position_value,account_value,holdings_count,holdings
2025-04-16,100000.0,0.0,100000.0,0,[]
2025-04-17,14455.0,84820.07397045172,99275.07397045173,9,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(187.3741912841797), 'value': np.float64(9217.96881568309)}, {'stock': 'SZ300015', 'amount': np.float64(354.9445520285362), 'price': np.float64(27.02141761779785), 'value': np.float64(9591.104971525254)}, {'stock': 'SZ002007', 'amount': np.float64(48.746690510519706), 'price': np.float64(191.8535614013672), 'value': np.float64(9352.226180973435)}, {'stock': 'SH600233', 'amount': np.float64(1467.5877512835812), 'price': np.float64(6.233727931976318), 'value': np.float64(9148.542757802774)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.583024501800537), 'value': np.float64(9415.524477312834)}, {'stock': 'SH603195', 'amount': np.float64(4740.757097919408), 'price': np.float64(2.0023486614227295), 'value': np.float64(9492.64862914923)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.1861817836761475), 'value': np.float64(9462.35289338152)}, {'stock': 'SH600760', 'amount': np.float64(1163.3443262469739), 'price': np.float64(8.166111946105957), 'value': np.float64(9500.0)}, {'stock': 'SH601985', 'amount': np.float64(14265.764244569074), 'price': np.float64(0.6757230162620544), 'value': np.float64(9639.705244623583)}]"
2025-04-18,11944.239862358469,86989.97308527815,98934.21294763662,9,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(188.5811004638672), 'value': np.float64(9277.343327751554)}, {'stock': 'SZ300015', 'amount': np.float64(354.9445520285362), 'price': np.float64(26.503034591674805), 'value': np.float64(9407.107740538811)}, {'stock': 'SZ002007', 'amount': np.float64(48.746690510519706), 'price': np.float64(195.51223754882812), 'value': np.float64(9530.574534811934)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.532054424285889), 'value': np.float64(9310.809782407501)}, {'stock': 'SH603195', 'amount': np.float64(4740.757097919408), 'price': np.float64(1.9669183492660522), 'value': np.float64(9324.682125310963)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.256734848022461), 'value': np.float64(9767.724568115575)}, {'stock': 'SH601985', 'amount': np.float64(14265.764244569074), 'price': np.float64(0.6617329120635986), 'value': np.float64(9440.125716371456)}, {'stock': 'SZ300274', 'amount': np.float64(2405.5432350712754), 'price': np.float64(4.408613681793213), 'value': np.float64(10605.110818280331)}, {'stock': 'SZ300450', 'amount': np.float64(582.1082346021325), 'price': np.float64(17.739818572998047), 'value': np.float64(10326.494471690014)}]"
2025-04-21,11278.077439432544,87207.52612607412,98485.60356550667,9,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(190.99493408203125), 'value': np.float64(9396.093102552384)}, {'stock': 'SZ300015', 'amount': np.float64(354.9445520285362), 'price': np.float64(25.68267822265625), 'value': np.float64(9115.926716633765)}, {'stock': 'SZ002007', 'amount': np.float64(48.746690510519706), 'price': np.float64(191.33090209960938), 'value': np.float64(9326.748269748203)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.454957008361816), 'value': np.float64(9152.418177369065)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.354349374771118), 'value': np.float64(10190.225160935926)}, {'stock': 'SZ300274', 'amount': np.float64(2405.5432350712754), 'price': np.float64(4.348194122314453), 'value': np.float64(10459.768955710215)}, {'stock': 'SZ300450', 'amount': np.float64(582.1082346021325), 'price': np.float64(17.50688362121582), 'value': np.float64(10190.901118130929)}, {'stock': 'SH600029', 'amount': np.float64(3667.3340110754452), 'price': np.float64(2.7502450942993164), 'value': np.float64(10086.067373117277)}, {'stock': 'SZ000538', 'amount': np.float64(88.08683944274324), 'price': np.float64(105.45703887939453), 'value': np.float64(9289.377251876358)}]"
2025-04-22,11612.56194040325,86245.62952362507,97858.19146402832,9,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(188.88284301757812), 'value': np.float64(9292.187706432573)}, {'stock': 'SZ300015', 'amount': np.float64(354.9445520285362), 'price': np.float64(25.51659393310547), 'value': np.float64(9056.976002880185)}, {'stock': 'SZ002007', 'amount': np.float64(48.746690510519706), 'price': np.float64(188.09036254882812), 'value': np.float64(9168.78269117917)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.283200740814209), 'value': np.float64(8799.556144754784)}, {'stock': 'SZ002601', 'amount': np.float64(4328.2553006503485), 'price': np.float64(2.32922101020813), 'value': np.float64(10081.463183819498)}, {'stock': 'SZ300274', 'amount': np.float64(2405.5432350712754), 'price': np.float64(4.344166278839111), 'value': np.float64(10450.07980408618)}, {'stock': 'SZ000538', 'amount': np.float64(88.08683944274324), 'price': np.float64(106.71189880371094), 'value': np.float64(9399.913896552749)}, {'stock': 'SZ300759', 'amount': np.float64(1080.4933919429354), 'price': np.float64(9.380960464477539), 'value': np.float64(10136.065791945912)}, {'stock': 'SZ300347', 'amount': np.float64(352.7289714443646), 'price': np.float64(27.95518684387207), 'value': np.float64(9860.604301974028)}]"
2025-04-23,11266.815326059725,83050.29875322597,94317.11407928567,9,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(180.4344024658203), 'value': np.float64(8876.562368633817)}, {'stock': 'SZ300015', 'amount': np.float64(354.9445520285362), 'price': np.float64(24.726436614990234), 'value': np.float64(8776.513967569703)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.00907564163208), 'value': np.float64(8236.384034245419)}, {'stock': 'SZ300274', 'amount': np.float64(2405.5432350712754), 'price': np.float64(4.114572048187256), 'value': np.float64(9897.780955730215)}, {'stock': 'SZ000538', 'amount': np.float64(88.08683944274324), 'price': np.float64(103.878662109375), 'value': np.float64(9150.343030755492)}, {'stock': 'SZ300759', 'amount': np.float64(1080.4933919429354), 'price': np.float64(8.991188049316406), 'value': np.float64(9714.919273002668)}, {'stock': 'SZ300347', 'amount': np.float64(352.7289714443646), 'price': np.float64(26.868009567260742), 'value': np.float64(9477.12537941723)}, {'stock': 'SZ000786', 'amount': np.float64(416.99998146786584), 'price': np.float64(21.857872009277344), 'value': np.float64(9114.732222795636)}, {'stock': 'SZ002050', 'amount': np.float64(162.43352347075057), 'price': np.float64(60.368927001953125), 'value': np.float64(9805.93752107578)}]"
2025-04-24,10745.185755070643,83325.05543376264,94070.24118883329,9,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(178.02056884765625), 'value': np.float64(8757.812593832989)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.111872673034668), 'value': np.float64(8447.573820594129)}, {'stock': 'SZ300274', 'amount': np.float64(2405.5432350712754), 'price': np.float64(4.0944318771362305), 'value': np.float64(9849.332903505243)}, {'stock': 'SZ000538', 'amount': np.float64(88.08683944274324), 'price': np.float64(105.23155212402344), 'value': np.float64(9269.51483625952)}, {'stock': 'SZ300759', 'amount': np.float64(1080.4933919429354), 'price': np.float64(8.714339256286621), 'value': np.float64(9415.785981566609)}, {'stock': 'SZ300347', 'amount': np.float64(352.7289714443646), 'price': np.float64(26.822376251220703), 'value': np.float64(9461.02918678683)}, {'stock': 'SZ002050', 'amount': np.float64(162.43352347075057), 'price': np.float64(60.86882019042969), 'value': np.float64(9887.136933039057)}, {'stock': 'SH603392', 'amount': np.float64(661.14547901554), 'price': np.float64(13.877777099609375), 'value': np.float64(9175.22958819213)}, {'stock': 'SH603986', 'amount': np.float64(612.6547677511801), 'price': np.float64(14.790776252746582), 'value': np.float64(9061.639589986127)}]"
2025-04-25,10642.756361053054,87076.47148364282,97719.22784469587,9,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(179.22747802734375), 'value': np.float64(8817.18710590145)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.431399345397949), 'value': np.float64(9104.02049758851)}, {'stock': 'SZ300274', 'amount': np.float64(2405.5432350712754), 'price': np.float64(4.91815185546875), 'value': np.float64(11830.826924976092)}, {'stock': 'SZ300759', 'amount': np.float64(1080.4933919429354), 'price': np.float64(8.79356861114502), 'value': np.float64(9501.39277593901)}, {'stock': 'SZ300347', 'amount': np.float64(352.7289714443646), 'price': np.float64(26.878747940063477), 'value': np.float64(9480.913114610925)}, {'stock': 'SZ002050', 'amount': np.float64(162.43352347075057), 'price': np.float64(61.69215774536133), 'value': np.float64(10020.874553092395)}, {'stock': 'SH603986', 'amount': np.float64(612.6547677511801), 'price': np.float64(15.16372299194336), 'value': np.float64(9290.12718787229)}, {'stock': 'SZ002916', 'amount': np.float64(1835.5432224451042), 'price': np.float64(5.088851451873779), 'value': np.float64(9340.806792516843)}, {'stock': 'SZ300661', 'amount': np.float64(866.9817946835574), 'price': np.float64(11.177077293395996), 'value': np.float64(9690.322531145299)}]"
2025-04-28,20474.851303438998,77991.20011031773,98466.05141375674,8,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(178.02056884765625), 'value': np.float64(8757.812593832989)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.529056072235107), 'value': np.float64(9304.64986397053)}, {'stock': 'SZ300274', 'amount': np.float64(2405.5432350712754), 'price': np.float64(4.920166015625), 'value': np.float64(11835.67207431431)}, {'stock': 'SZ300759', 'amount': np.float64(1080.4933919429354), 'price': np.float64(8.885547637939453), 'value': np.float64(9600.775506587737)}, {'stock': 'SZ300347', 'amount': np.float64(352.7289714443646), 'price': np.float64(27.037126541137695), 'value': np.float64(9536.777835666631)}, {'stock': 'SH603986', 'amount': np.float64(612.6547677511801), 'price': np.float64(15.089982032775879), 'value': np.float64(9244.949437659787)}, {'stock': 'SZ300661', 'amount': np.float64(866.9817946835574), 'price': np.float64(11.27685832977295), 'value': np.float64(9776.830873138775)}, {'stock': 'SZ300316', 'amount': np.float64(981.095002484501), 'price': np.float64(10.125147819519043), 'value': np.float64(9933.731925146976)}]"
2025-04-29,12085.486655232102,86136.40192755127,98221.88858278337,9,"[{'stock': 'SH600415', 'amount': np.float64(49.19550954433595), 'price': np.float64(181.6413116455078), 'value': np.float64(8935.93688070228)}, {'stock': 'SH603659', 'amount': np.float64(2054.4346803325507), 'price': np.float64(4.64727258682251), 'value': np.float64(9547.517971326928)}, {'stock': 'SZ300759', 'amount': np.float64(1080.4933919429354), 'price': np.float64(8.952028274536133), 'value': np.float64(9672.60739512261)}, {'stock': 'SZ300347', 'amount': np.float64(352.7289714443646), 'price': np.float64(27.523000717163086), 'value': np.float64(9708.159734027446)}, {'stock': 'SH603986', 'amount': np.float64(612.6547677511801), 'price': np.float64(15.299341201782227), 'value': np.float64(9373.214330723951)}, {'stock': 'SZ300316', 'amount': np.float64(981.095002484501), 'price': np.float64(9.997519493103027), 'value': np.float64(9808.516411924762)}, {'stock': 'SH600515', 'amount': np.float64(5747.11089779567), 'price': np.float64(1.662093162536621), 'value': np.float64(9552.233727565885)}, {'stock': 'SZ000708', 'amount': np.float64(2230.66876120296), 'price': np.float64(4.530236721038818), 'value': np.float64(10105.457534475821)}, {'stock': 'SZ300418', 'amount': np.float64(2377.2247502806363), 'price': np.float64(3.967970609664917), 'value': np.float64(9432.757941681586)}]"
